"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Oct 28 03:30:54 GMT 2024","Mon Oct 28 03:30:54 GMT 2024","15","tests","test_departments","","","","Тест Органов","Этот тест проверяет объекты органов на стандартное представление"
"skipped","Mon Oct 28 03:40:48 GMT 2024","Mon Oct 28 03:40:48 GMT 2024","0","tests","test_service","","","","Тест Подуслуг по Услуге","Этот тест проверяет подуслуги на стандартное представление"
"skipped","Mon Oct 28 03:42:08 GMT 2024","Mon Oct 28 03:42:08 GMT 2024","0","tests","test_target","","","","Тест получения токена для Авторизации для теста Параметров по Подуслуге","Этот тест проверяет получение токена для доступа к авторизации"
"skipped","Mon Oct 28 03:42:08 GMT 2024","Mon Oct 28 03:42:08 GMT 2024","6","tests","test_target","","","","Тест наличия Авторизации для теста Параметров по Подуслуге","Этот тест проверяет наличие записей об авторизации на странице авторизации"
"broken","Mon Oct 28 03:35:46 GMT 2024","Mon Oct 28 03:35:46 GMT 2024","0","tests","test_service","","","","Тест доступности Подуслуг по Услуге","Этот тест проверяет доступность страниц услуг"
"skipped","Mon Oct 28 03:30:49 GMT 2024","Mon Oct 28 03:30:49 GMT 2024","0","tests","test_category","","","","Тест доступности вспомогательных страниц для Категорий","Этот тест проверяет доступность страницы вспомогательных страниц для доступа к категориям"
"skipped","Mon Oct 28 03:30:54 GMT 2024","Mon Oct 28 03:30:54 GMT 2024","0","tests","test_departments","","","","Тест доступности Услуг по Категории","Этот тест проверяет доступность страниц категорий"
"skipped","Mon Oct 28 03:30:49 GMT 2024","Mon Oct 28 03:30:49 GMT 2024","12","tests","test_category","","","","Тест доступности Услуг по Категории","Этот тест проверяет доступность страниц категорий"
"skipped","Mon Oct 28 03:40:48 GMT 2024","Mon Oct 28 03:40:48 GMT 2024","1","tests","test_service","","","","Тест наличия групп Подуслуг по Услуге","Этот тест проверяет наличие на страницах услуг групп подуслуг"
"passed","Mon Oct 28 03:42:42 GMT 2024","Mon Oct 28 03:42:42 GMT 2024","58","tests","test_target","","","","Тест Параметров по Подуслуге","Этот тест проверяет наличие на страницах подуслуг проверяемых параметров"
"skipped","Mon Oct 28 03:35:42 GMT 2024","Mon Oct 28 03:35:42 GMT 2024","0","tests","test_department","","","","Тест получения токена для Категорий","Этот тест проверяет получение токена для доступа к категориям"
"skipped","Mon Oct 28 03:30:21 GMT 2024","Mon Oct 28 03:30:21 GMT 2024","0","tests","test_categories","","","","Тест наличия Категорий","Этот тест проверяет наличие на странице категорий объектов"
"skipped","Mon Oct 28 03:30:54 GMT 2024","Mon Oct 28 03:30:54 GMT 2024","1","tests","test_departments","","","","Тест получения токена для Органов","Этот тест проверяет получение токена для доступа к органам"
"skipped","Mon Oct 28 03:40:48 GMT 2024","Mon Oct 28 03:40:48 GMT 2024","0","tests","test_service","","","","Тест групп Подуслуг по Услуге","Этот тест проверяет группы подуслуг на стандартное представление"
"skipped","Mon Oct 28 03:35:46 GMT 2024","Mon Oct 28 03:35:46 GMT 2024","67","tests","test_department","","","","Тест Услуг по Категории","Этот тест проверяет объекты услуг на стандартное представление"
"skipped","Mon Oct 28 03:42:08 GMT 2024","Mon Oct 28 03:42:08 GMT 2024","0","tests","test_target","","","","Тест доступности страницы Авторизации для теста Параметров по Подуслуге","Этот тест проверяет доступность страницы авторизации"
"skipped","Mon Oct 28 03:30:21 GMT 2024","Mon Oct 28 03:30:21 GMT 2024","1","tests","test_categories","","","","Тест доступности Категорий","Этот тест проверяет доступность страницы категорий"
"skipped","Mon Oct 28 03:35:42 GMT 2024","Mon Oct 28 03:35:42 GMT 2024","0","tests","test_department","","","","Тест доступности вспомогательных страниц для Категорий","Этот тест проверяет доступность страницы вспомогательных страниц для доступа к категориям"
"skipped","Mon Oct 28 03:35:42 GMT 2024","Mon Oct 28 03:35:43 GMT 2024","54","tests","test_department","","","","Тест доступности Услуг по Категории","Этот тест проверяет доступность страниц категорий"
"skipped","Mon Oct 28 03:42:08 GMT 2024","Mon Oct 28 03:42:08 GMT 2024","0","tests","test_target","","","","Тест доступности Параметров по Подуслуге","Этот тест проверяет доступность страниц подуслуг"
"skipped","Mon Oct 28 03:42:08 GMT 2024","Mon Oct 28 03:42:08 GMT 2024","0","tests","test_target","","","","Тест доступности вспомогательных страниц для Авторизации для теста Параметров по Подуслуге","Этот тест проверяет доступность вспомогательных страниц для доступа к авторизации"
"skipped","Mon Oct 28 03:30:54 GMT 2024","Mon Oct 28 03:30:54 GMT 2024","0","tests","test_departments","","","","Тест наличия Органов","Этот тест проверяет наличие на странице органов объектов"
"skipped","Mon Oct 28 03:30:49 GMT 2024","Mon Oct 28 03:30:49 GMT 2024","0","tests","test_category","","","","Тест получения токена для Категорий","Этот тест проверяет получение токена для доступа к категориям"
"skipped","Mon Oct 28 03:42:08 GMT 2024","Mon Oct 28 03:42:08 GMT 2024","5","tests","test_target","","","","Тест Авторизации для теста Параметров по Подуслуге","Этот тест проверяет успешность авторизации в качестве заданного пользователя"
"skipped","Mon Oct 28 03:30:21 GMT 2024","Mon Oct 28 03:30:21 GMT 2024","0","tests","test_categories","","","","Тест Категорий","Этот тест проверяет объекты категорий на стандартное представление"
"skipped","Mon Oct 28 03:30:53 GMT 2024","Mon Oct 28 03:30:53 GMT 2024","31","tests","test_category","","","","Тест Услуг по Категории","Этот тест проверяет объекты услуг на стандартное представление"
"skipped","Mon Oct 28 03:30:54 GMT 2024","Mon Oct 28 03:30:54 GMT 2024","0","tests","test_departments","","","","Тест доступности вспомогательных страниц для Органов","Этот тест проверяет доступность страницы вспомогательных страниц для доступа к органам"
